x1,y
0.21,0.9
-0.09,-0.4
-0.66,-0.58
-0.21,-0.12
-0.47,-0.12
0.56,-0.21
0.92,-0.75
-0.57,-0.68
-0.14,0.53
-0.83,0.95
-0.94,-0.78
0.24,0.67
-0.15,-0.0
0.16,-0.66
-0.33,-0.94
-0.83,0.94
-0.06,-0.69
-0.48,0.6
0.27,-0.99
-0.18,-0.94
-0.3,0.81
-0.48,0.23
0.62,-0.21
-0.73,-0.63
-0.34,0.32
0.91,-0.8
-0.39,0.24
0.14,0.86
0.52,-0.29
0.99,-0.68
0.64,0.05
-0.04,0.52
0.28,-0.75
0.42,0.77
0.41,0.57
0.59,-0.82
0.35,-0.6
0.27,0.3
-0.98,0.56
-0.03,-0.74
0.7,-0.04
-0.85,-0.56
-0.64,-0.12
-0.63,-0.37
0.89,-0.55
-0.45,-0.73
-0.28,-0.51
0.91,-0.99
-0.1,0.04
-0.17,-0.51
0.38,0.31
-0.68,-0.63
-0.84,0.49
0.34,0.38
-0.62,-0.7
0.35,0.69
0.91,-0.71
-0.02,-0.93
0.1,0.96
0.24,-0.38
-0.77,-0.54
-0.83,0.92
-0.5,0.79
0.57,0.41
-0.5,-0.06
-0.99,-0.04
0.81,0.0
-0.84,-0.55
0.17,0.85
0.39,-0.3
0.17,0.25
-0.74,0.96
0.41,0.36
0.19,0.67
0.05,0.76
-0.79,-0.52
0.97,-0.31
0.89,-0.48
0.88,-0.54
0.53,0.25
0.09,-0.11
0.64,0.9
-0.87,-0.22
0.27,0.27
-0.02,0.77
-0.01,0.88
0.91,-0.21
-0.43,0.7
0.75,-0.77
-0.56,-0.21
-0.98,-0.91
0.24,0.16
0.35,0.51
0.07,-0.57
-0.85,0.52
0.76,0.73
-0.87,0.46
-0.53,0.02
-0.59,-0.1
0.31,0.13
